date: 2022/10/14
time: 22:45:31
Core #0: 47C
Core #1: 47C
Core #2: 50C
Core #3: 48C
Core #4: 48C
Core #5: 48C
Core #6: 49C
Core #7: 49C
Core #8: 46C
Core #9: 46C
Core #10: -6C
Core #11: -6C
Core #12: -8C
Core #13: -8C
Core #14: -6C
Core #15: -6C
Core #16: -6C
Core #17: -6C
Core #18: -6C
Core #19: -6C
Core #20: -6C
Core #21: -6C
Core #22: -6C
Core #23: -6C
Core #24: -6C
Core #25: -6C
Core #26: -6C
Core #27: -6C
Core #28: -6C
Core #29: -6C
Core #30: -6C
Core #31: -6C
Core #32: -7C
Core #33: -7C
Core #34: -4C
Core #35: -4C
Core #36: -5C
Core #37: -5C
Core #38: -7C
Core #39: -7C
Core #40: -8C
Core #41: -8C
Core #42: -6C
Core #43: -6C
Core #44: -7C
Core #45: -7C
